Entity,Code,Year,Other renewables,Biofuels,Solar,Wind,Hydropower,Nuclear,Gas,Coal,Oil
Algeria,DZA,2024,0,0,1.6728634,0.03913131,0.12482927,0,505.4759,1.7369871,250.97054
Angola,AGO,2024,,0,,,,0,,,
Argentina,ARG,2024,8.232407,14.633476,9.671616,39.432907,72.36291,25.485405,456.22565,9.952372,339.03214
Australia,AUS,2024,9.331409,1.2299945,122.469246,79.84904,31.340435,0,369.92377,422.99002,620.48303
Austria,AUT,2024,14.519362,5.2798266,22.98332,22.462114,109.25404,0,68.21874,27.964993,131.87657
Azerbaijan,AZE,2024,0.36328125,0,1.3407317,0.12414634,7.106,0,127.69008,0.000779909,70.99441
Bahrain,BHR,2024,,0,,,,0,,,
Bangladesh,BGD,2024,0.036631335,0,3.0936098,0.23703243,2.4239051,0,273.2437,89.218735,160.46597
Belarus,BLR,2024,1.5902824,0,0.36434034,0.4200273,0.65615904,38.292683,167.84036,11.146761,92.522575
Belgium,BEL,2024,10.131092,8.740061,20.936623,32.11601,1.2901953,76.09576,132.51567,30.604897,326.7497
Bolivia,BOL,2024,,0,,,,0,,,
Brazil,BRA,2024,181.9861,269.88013,173.95181,264.61795,1007.83966,38.48196,313.63873,147.8069,1427.7328
Brunei,BRN,2024,,0,,,,0,,,
Bulgaria,BGR,2024,5.378681,2.1514506,13.222657,3.3587413,7.018133,38.436123,27.132,31.639412,61.19366
Canada,CAN,2024,30.724209,32.977074,22.967072,114.219124,837.0666,208.45772,1285.354,81.14278,1209.1987
Chad,TCD,2024,,0,,,,0,,,
Chile,CHL,2024,23.837729,0,50.378777,25.633087,64.594696,0,70.91972,36.27403,238.19644
China,CHN,2024,651.5507,37.22829,2046.439,2431.805,3303.0593,1099.6342,4343.913,25599.307,8964.054
Colombia,COL,2024,5.851801,11.22789,8.057025,0.36292684,132.914,0,134.49934,61.591125,252.61028
Congo,COG,2024,,0,,,,0,,,
Croatia,HRV,2024,3.163698,0.009538138,1.9946601,6.535252,16.503899,0,23.65348,2.647182,47.036217
Cuba,CUB,2024,,0,,,,0,,,
