Entity,Code,Year,Energy use per capita,Population
Albania,ALB,2023,10332.83481,2811660
Algeria,DZA,2023,17484.70598,46164222
Angola,AGO,2023,4920.915024,36749909
Argentina,ARG,2023,21306.938047000003,45538402
Armenia,ARM,2023,15672.478678000001,2943398
Australia,AUS,2023,57308.55787000001,26451126
Austria,AUT,2023,38480.31707,9130434
Azerbaijan,AZE,2023,20145.45576,10318209
Bahrain,BHR,2023,124461.85259000001,1569674
Bangladesh,BGD,2023,3455.4864105000006,171466986
Belarus,BLR,2023,33290.72381,9115679
Belgium,BEL,2023,47113.990620000004,11712891
Benin,BEN,2023,4370.797997400001,14111035
Bolivia,BOL,2023,9284.149916,12244161
Bosnia and Herzegovina,BIH,2023,25249.288239999998,3185072
Botswana,BWA,2023,13550.69101,2480242
Brazil,BRA,2023,17226.639772000002,211140731
Brunei,BRN,2023,110915.9148,458959
Bulgaria,BGR,2023,30286.743656000006,6795805
Burkina Faso,BFA,2023,3639.3652,23025777
Cambodia,KHM,2023,5834.121231900001,17423884
Cameroon,CMR,2023,4467.139522,28372690
Canada,CAN,2023,85318.45921,39299098
Chad,TCD,2023,2309.0756751000004,19319075
Chile,CHL,2023,23717.637011000003,19658833
China,CHN,2023,33156.45197,1422584930
Colombia,COL,2023,10032.44156,52321152
Congo,COG,2023,7298.8244822000015,6182890
Costa Rica,CRI,2023,11922.487522000001,5105526
Cote d'Ivoire,CIV,2023,5486.748135,31165653
Croatia,HRV,2023,26019.026768000003,3896023
Cuba,CUB,2023,9485.612219200002,11019932
Cyprus,CYP,2023,19454.49885,1344981
Czechia,CZE,2023,40813.718403000006,10809722
Democratic Republic of Congo,COD,2023,4546.1658370000005,105789733
Denmark,DNK,2023,28875.62342,5948134
Dominican Republic,DOM,2023,11053.96726,11331269
Ecuador,ECU,2023,10522.125037000002,17980079
Egypt,EGY,2023,10797.23338,114535772
El Salvador,SLV,2023,8939.787942,6309629
Equatorial Guinea,GNQ,2023,14932.16638,1847556
Eritrea,ERI,2023,3367.4409140000002,3470391
Estonia,EST,2023,35929.644079000005,1367195
Eswatini,SWZ,2023,11152.2039,1230507
Ethiopia,ETH,2023,4395.229953,128691695
Finland,FIN,2023,68229.16276,5601185
France,FRA,2023,36473.10235,66438828
Gabon,GAB,2023,24379.336328000005,2484790
Georgia,GEO,2023,17794.68037,3807494
Germany,DEU,2023,34054.9253,84548233
Ghana,GHA,2023,4177.256189,33787916
Gibraltar,GIB,2023,75853.59305,38493
Greece,GRC,2023,21805.740606000003,10242910
Guatemala,GTM,2023,10325.56641,18124841
Haiti,HTI,2023,4390.628078,11637402
Honduras,HND,2023,6903.912248000001,10644853
Hong Kong,HKG,2023,18217.18664,7442738
Hungary,HUN,2023,29253.760078000003,9686465
Iceland,ISL,2023,182424.6677,387559
India,IND,2023,8771.108399100001,1438069597
Indonesia,IDN,2023,11361.928500000002,281190068
Iran,IRN,2023,37985.005838000005,90608708
Iraq,IRQ,2023,16416.776581000002,45074055
Ireland,IRL,2023,28699.7848,5196629
Israel,ISR,2023,28605.441076000003,9256311
Italy,ITA,2023,26730.286167000002,59499452
Jamaica,JAM,2023,11268.067422000002,2839785
Japan,JPN,2023,35345.21448,124370947
Jordan,JOR,2023,8772.572965000001,11439220
Kazakhstan,KAZ,2023,42455.868588000005,20330109
Kenya,KEN,2023,6337.658597,55339007
Kuwait,KWT,2023,106177.2247,4838781
Kyrgyzstan,KGZ,2023,7501.515146,7073523
Laos,LAO,2023,9479.456577,7665001
Latvia,LVA,2023,26055.112332000004,1882399
Lebanon,LBN,2023,7181.32729,5773494
Libya,LBY,2023,29530.87507,7305659
Lithuania,LTU,2023,28342.844979999998,2854104
Luxembourg,LUX,2023,53409.379400000005,665101
Madagascar,MDG,2023,3589.8617565000004,31195937
Malaysia,MYS,2023,33344.33113,35126295
Malta,MLT,2023,16258.694643000003,532964
Mauritius,MUS,2023,13568.01855,1273591
Mexico,MEX,2023,18140.35654,129739761
Moldova,MDA,2023,15081.79447,3067072
Mongolia,MNG,2023,21988.039693000002,3431938
Morocco,MAR,2023,6985.488557000001,37712516
Mozambique,MOZ,2023,4170.956451,33635163
Myanmar,MMR,2023,4646.431323,54133800
Namibia,NAM,2023,8053.325616800001,2963102
Nepal,NPL,2023,6047.0254780000005,29694614
Netherlands,NLD,2023,39752.929821000005,18092526
New Zealand,NZL,2023,42572.81056400001,5172837
Nicaragua,NIC,2023,7073.895630200001,6823619
Niger,NER,2023,1884.593468,26159863
Nigeria,NGA,2023,3873.49629,227882949
North Korea,PRK,2023,7449.181309000001,26418196
North Macedonia,MKD,2023,16865.14797,1831800
Norway,NOR,2023,56808.10385,5519167
Oman,OMN,2023,68236.9316,5049267
Pakistan,PAK,2023,5474.514305000001,247504505
Panama,PAN,2023,12359.191696000002,4458758
Paraguay,PRY,2023,12141.19432,6844150
Peru,PER,2023,9614.586128,33845616
Philippines,PHL,2023,6405.7318940000005,114891199
Poland,POL,2023,30693.941357000003,38762847
Portugal,PRT,2023,21552.21242,10430735
Qatar,QAT,2023,194031.0123,2979086
Romania,ROU,2023,18615.20362,19118482
Russia,RUS,2023,65140.61274,145440502
Rwanda,RWA,2023,4337.889982000001,13954473
Saudi Arabia,SAU,2023,87569.25963,33264289
Senegal,SEN,2023,3384.918478,18077573
Singapore,SGP,2023,61438.54183100001,5789092
Slovakia,SVK,2023,35526.44477,5518057
Slovenia,SVN,2023,33679.91478,2118394
South Africa,ZAF,2023,22544.862,63212386
South Korea,KOR,2023,62068.437750000005,51748744
Spain,ESP,2023,26675.82753,47911583
Sri Lanka,LKA,2023,5511.699369200001,22971615
Sudan,SDN,2023,4789.007797,50042800
Suriname,SUR,2023,19714.754994000003,628892
Sweden,SWE,2023,49879.13361,10551493
Switzerland,CHE,2023,29207.25171,8870564
Syria,SYR,2023,5286.207974,23594623
Tajikistan,TJK,2023,4363.542040400001,10389807
Tanzania,TZA,2023,4711.851469,66617607
Thailand,THA,2023,21530.296849000002,71702436
Togo,TGO,2023,4947.428749000001,9304346
Trinidad and Tobago,TTO,2023,128376.6734,1502938
Tunisia,TUN,2023,11118.758458200002,12200434
Turkey,TUR,2023,21510.102517000003,87270502
Turkmenistan,TKM,2023,65426.251350000006,7364437
Uganda,UGA,2023,5615.215441,48656606
Ukraine,UKR,2023,17541.27314,37732833
United Arab Emirates,ARE,2023,96945.4703,10642089
