Entity,Code,Year,Coal,Oil,Gas,Nuclear,Hydropower,Wind,Solar,Other renewables
Algeria,DZA,2024,37.10377,5360.98,10797.467,0,2.6664772,0.8358837,35.734024,0
Angola,AGO,2024,,,,0,,,,
Argentina,ARG,2024,217.79453,7419.271,9983.896,557.7145,1583.5668,862.93713,211.65054,180.15535
Australia,AUS,2024,15834.491,23227.576,13847.974,0,1173.2188,2989.1223,4584.5957,349.3182
Austria,AUT,2024,3066.063,14458.858,7479.457,0,11978.54,2462.731,2519.8757,1591.8931
Azerbaijan,AZE,2024,0.07545135,6868.2705,12353.227,0,687.4616,12.010392,129.70752,35.145218
Bahrain,BHR,2024,,,,0,,,,
Bangladesh,BGD,2024,514.04425,924.5436,1574.3258,0,13.965614,1.3656902,17.824198,0.21105574
Belarus,BLR,2024,1230.7756,10215.931,18532.186,4228.1074,72.45016,46.37754,40.228836,175.5919
Belgium,BEL,2024,2607.1658,27835.11,11288.728,6482.435,109.90899,2735.8943,1783.5463,863.04614
Bolivia,BOL,2024,,,,0,,,,
Brazil,BRA,2024,697.2071,6734.6343,1479.438,181.51991,4753.9927,1248.2063,820.53296,858.4308
Brunei,BRN,2024,,,,0,,,,
Bulgaria,BGR,2024,4681.9893,9055.416,4014.984,5687.764,1038.5409,497.02536,1956.6842,795.93536
Canada,CAN,2024,2041.7166,30425.889,32342.11,5245.2183,21062.291,2873.9844,577.898,773.0833
Chad,TCD,2024,,,,0,,,,
Chile,CHL,2024,1835.2867,12051.564,3588.188,0,3268.1729,1296.9077,2548.9175,1206.0714
China,CHN,2024,18036.3,6315.7324,3060.5566,774.76056,2327.2104,1713.3577,1441.8434,459.05795
Colombia,COL,2024,1164.5938,4776.473,2543.1765,0,2513.2,6.86239,152.346,110.64858
Congo,COG,2024,,,,0,,,,
Croatia,HRV,2024,683.0864,12137.36,6103.6123,0,4258.7134,1686.3752,514.7078,816.3697
Cuba,CUB,2024,,,,0,,,,
Curacao,CUW,2024,,,,0,,,,
Cyprus,CYP,2024,132.66298,21640.416,0,0,0,363.89267,1931.8153,126.00248
Czechia,CZE,2024,9300.31,10516.589,6230.5225,6746.5723,603.4659,160.14583,815.6804,1600.6056
Democratic Republic of Congo,COD,2024,,,,0,,,,
Denmark,DNK,2024,888.8632,15115.438,2735.722,0,7.9624877,8388.083,1589.6699,3028.6675
Ecuador,ECU,2024,5.443671,9002.805,345.94583,0,3041.3948,30.063696,4.856402,86.10195
Egypt,EGY,2024,164.0566,3776.6436,5129.8906,0,300.80566,128.4467,126.98702,0
Equatorial Guinea,GNQ,2024,,,,0,,,,
Estonia,EST,2024,19663.082,11224.462,2488.853,0,56.763607,1877.6935,2018.8615,3169.15
Finland,FIN,2024,3722.6265,15431.883,2254.242,14166.584,6216.7817,8968.517,556.18207,5708.612
France,FRA,2024,741.85156,11655.696,4803.7954,13943.65,2598.7966,1727.8872,849.6853,451.39258
Gabon,GAB,2024,,,,0,,,,
Germany,DEU,2024,5183.012,13915.036,9292.594,0,640.7642,4005.577,2138.4963,1803.2836
Greece,GRC,2024,1049.1215,17248.287,6637.166,0,781.225,2900.2449,2468.3208,225.80098
Guyana,GUY,2024,,,,0,,,,
Hong Kong,HKG,2024,4698.8633,24402.178,7313.6455,0,0,0.2744237,106.52005,75.55133
Hungary,HUN,2024,908.5797,9861.806,8512.668,4037.2964,58.29328,165.83218,2262.0305,563.59924
Iceland,ISL,2024,3183.121,28847.967,0,0,84194.71,76.49928,0.049598366,47391.285
India,IND,2024,4397.0425,2087.4417,484.3896,91.95757,263.124,137.07579,229.88339,47.92055
Indonesia,IDN,2024,4625.755,3100.605,1667.5029,0,227.88174,4.1496825,7.957016,490.01352
Iran,IRN,2024,201.49396,11408.365,26799.135,195.65446,502.7133,33.227562,23.983372,1.1733148
Iraq,IRQ,2024,0,11608.955,4294.218,0,73.46355,0,20.0017,0
Ireland,IRL,2024,907.81915,16256.601,9449.913,0,356.8298,5393.2256,520.93286,478.03418
Israel,ISR,2024,3276.5625,12207.434,11056.687,0,6.0529003,103.10688,2635.626,37.125652
Italy,ITA,2024,470.78598,12010.403,9929.718,0,2269.3782,917.34814,1487.875,1029.6086
Japan,JPN,2024,10169.868,14406.841,7348.817,1673.3878,1565.8479,227.43718,1905.901,1146.8883
Kazakhstan,KAZ,2024,20182.123,9344.106,10071.488,0,1332.9369,581.83136,221.71768,0.26337883
Kuwait,KWT,2024,220.31418,56148.63,49944.266,0,0,17.366993,63.098194,0
Latvia,LVA,2024,74.737686,9902.602,4365.478,0,4175.9365,362.04163,525.1031,895.25934
Libya,LBY,2024,,,,0,,,,
Lithuania,LTU,2024,392.8265,13080.848,5952.201,0,370.8419,2993.2036,1181.0017,815.0529
Luxembourg,LUX,2024,339.80798,41076.613,8956.575,0,392.90237,1715.3805,1737.3263,2284.3542
Madagascar,MDG,2024,,,,0,,,,
Malaysia,MYS,2024,8455.874,14058.844,12983.879,0,2358.7412,0,241.521,129.6673
Mexico,MEX,2024,599.3629,7646.7373,7661.1436,229.3737,438.7994,368.19888,479.4438,143.1488
Mongolia,MNG,2024,,,,0,,,,
Morocco,MAR,2024,1935.016,4420.523,236.90137,0,9.06748,481.4758,135.5548,0
Mozambique,MOZ,2024,,,,0,,,,
Myanmar,MMR,2024,,,,0,,,,
Netherlands,NLD,2024,2642.3477,23753.621,14342.432,478.7378,11.373089,4465.91,2896.1235,1231.4153
New Caledonia,NCL,2024,,,,0,,,,
New Zealand,NZL,2024,2828.3618,17196.264,5826.714,0,11132.381,1851.6147,284.0242,5869.7915
Nigeria,NGA,2024,,,,0,,,,
North Macedonia,MKD,2024,3999.1853,7672.798,1817.9716,0,1828.0706,221.98065,417.423,107.87592
Norway,NOR,2024,1580.1162,19298.113,6039.681,0,61045.402,6352.215,242.1113,73.74284
Oman,OMN,2024,259.81354,23384.518,59965.695,0,0,56.177063,886.7429,0
Pakistan,PAK,2024,456.63943,914.1902,1474.5919,221.2637,378.6465,33.744255,16.072285,9.914096
Papua New Guinea,PNG,2024,,,,0,,,,
Peru,PER,2024,206.39037,4392.94,3305.3184,0,2282.9106,279.03946,100.30719,48.182915
Philippines,PHL,2024,2341.9375,2309.8784,290.3199,0,234.13815,27.328508,79.80257,325.36307
Poland,POL,2024,9572.223,10222.657,5444.4873,0,137.86865,1636.2849,939.2753,647.7202
Portugal,PRT,2024,6.6933384,11771.844,3521.3027,0,3469.05,3381.3176,1660.362,1157.3418
Qatar,QAT,2024,49.875526,60172.66,152458.56,0,0,0,1600.1846,138.14102
Romania,ROU,2024,1332.658,7238.3047,4971.475,1399.6581,1769.8807,815.65497,589.0625,81.75252
Russia,RUS,2024,7190.828,14701.674,32938.97,3633.01,3545.8086,76.91984,49.240173,17.872822
Saudi Arabia,SAU,2024,50.667183,60314.777,35769.33,0,0,114.35417,591.02155,0
Serbia,SRB,2024,,,,0,,,,
Singapore,SGP,2024,601.16003,156814.86,22258.072,0,0,0,533.1144,451.90732
Slovakia,SVK,2024,4020.7722,8892.724,7889.4473,8083.152,2184.2415,1.7765127,307.64514,826.097
Slovenia,SVN,2024,4760.0845,12243.2295,3919.2065,6718.044,6125.255,7.6144757,2110.9304,396.0288
South Africa,ZAF,2024,15251.922,4186.9116,745.3902,297.22275,41.916027,422.9708,251.49614,22.960554
